0,업종,상호명,시도,구,도로명,주소,x,y
1,기타,(주)고봉에듀,대구,북구,동암로,110빅타운2층201호(동천동),128.5628344,35.94394199
2,기타,(주)리조트휘트니스PT대구침산점,대구,북구,옥산로,118(고성동3가),128.5883206,35.88354464
3,기타,(주)쎄니트북대구지점,대구,북구,동암로,100(동천동),128.5617222,35.944081
4,기타,(주)아영통상/부경자동차학원,대구,북구,칠곡중앙대로,243(태전동),128.5477,35.91768874
5,기타,(주)지원이엔씨/롯데시네마프리미엄칠곡,대구,북구,학정로,"422(구암동,5층일부,6~9층)",128.5638821,35.9421823
6,기타,가우스수학전문학원,대구,북구,매천로,124(매천동),128.5421636,35.9080344
7,기타,갑스영어교습소,대구,북구,칠곡중앙대로95길,36-1(관음동),128.5455728,35.93919648
8,기타,개인과외,대구,북구,복현동,539-111복현대백맨션102-10137/3,128.6170403,35.90143181
9,기타,고려e스쿨명문학원,대구,북구,칠곡중앙대로,"495(관음동,3층,4층)",128.5496273,35.93992008
10,기타,고운필라테스,대구,북구,구암로,"135,8층(동천동,중앙빌딩)",128.5557097,35.93209925
11,기타,고차원영어교습소,대구,북구,동천로,35(동천동),128.5585525,35.93512994
12,기타,공간봄,대구,북구,학정로,551-502층3층(학정동),128.5654032,35.95394113
13,기타,관음지앤비(GnB)영어전문학원,대구,북구,칠곡중앙대로,475(관음동)크리스탈빌딩5층,128.5490664,35.93821515
14,기타,광명교육랜드주산과암산교습소,대구,북구,학정로106길,22(학정동),128.5677598,35.95163094
15,기타,그린PT,대구,북구,옥산로,"103비101호(칠성동2가,푸르지오1차운동시설동)",128.5865966,35.88454121
16,기타,글셈학원,대구,북구,연암로25길,34(산격동),128.5940851,35.89766113
17,기타,금란핏,대구,북구,침산남로19길,6B동2층202호(침산동),128.5869553,35.88961278
18,기타,금은(주),대구,북구,옥산로,"103,B101호(칠성동2가,침산1차푸르지오아파트)",128.5865966,35.88454121
19,기타,김제경수학교습소,대구,북구,복현로,105태왕아너스상가204호(복현동),128.6196596,35.89940202
20,기타,깐부gym,대구,북구,동북로,150대현상가6층(산격동),128.6090129,35.89986399
21,기타,깜냥학원,대구,북구,호암로,"20(칠성동2가,성광우방타운126동202,303호)",128.5920247,35.88266294
22,기타,나이스바디점핑클럽,대구,북구,호국로,"223,5층(서변동,부국빌딩)",128.5990206,35.92175534
23,기타,뉴한국컴퓨터학원,대구,북구,동북로31길,21-1(산격동),128.6090897,35.90111176
24,기타,다이어트순환운동센터&마음가짐스크린테니,대구,북구,복현로,18지하1층(복현동),128.6235783,35.8937252
25,기타,다이어트트레이닝센터,대구,북구,대현로,"102,5층(대현동,삼주빌딩)",128.6100196,35.88208925
26,기타,대구경북인문학협동조합,대구,북구,대현로9길,55-1(대현동),128.6030063,35.88808112
27,기타,대구과학대학휘트니스센터,대구,북구,영송로,47(태전동),128.5427833,35.92925359
28,기타,대구광역시스쿼시연맹,대구,북구,고성로,"191,2층(고성동3가,스쿼시장)",128.5861543,35.88301935
29,기타,대구목공직업전문학교,대구,북구,노원로,263(침산동),128.5885116,35.90105011
30,기타,바디랩필라테스,대구,북구,동천로,"127,5층(동천동,호수빌딩)",128.5605374,35.94310706
31,기타,바름퍼스널트레이닝,대구,북구,동천로24길,"17,4층401호(동천동)",128.5624796,35.94198609
32,기타,밝은숲수학교습소,대구,북구,연암로31길,27(산격동),128.5942309,35.89914625
33,기타,백샘수학교습소,대구,북구,영송로,85한신상가404호(태전동),128.5426126,35.93279682
34,기타,밸런스요가&필라테스,대구,북구,내곡로,"32,3층301호(사수동)",128.5098541,35.8984698
35,기타,베러베스트주식회사,대구,북구,호암로,51파크몰A동2층2호(침산동),128.5959754,35.88368682
36,기타,벤짐(BenGYM),대구,북구,침산로,164지하층(침산동),128.5905828,35.89086009
37,기타,별해국어교습소,대구,북구,대천로,"80(동천동,4층)",128.5580071,35.93682593
38,기타,보성휘트니스,대구,북구,동변로,98(동변동),128.6025225,35.92132575
39,기타,복싱마스터,대구,북구,태전로,"29,2층(태전동,대원빌딩)",128.5445247,35.92299997
40,기타,복싱마스터,대구,북구,연경중앙로,45층(연경동),128.6174646,35.94644766
41,기타,북대구농협산격지점(헬스클럽),대구,북구,대불서길,8(산격동),128.6148312,35.90061628
42,기타,뷰티바디헬스클럽,대구,북구,호암로,"6,5층(칠성동2가,진성빌딩)",128.591116,35.88294226
43,기타,브로인제이(BroinJ),대구,북구,동북로,"325,3층(복현동)",128.6253235,35.89132817
44,기타,브로인제이(BroinJFitness),대구,북구,구암로,148(구암동),128.556822,35.93150756
45,기타,브리즈어학원,대구,북구,침산로,162(침산동),128.5906489,35.89065879
46,기타,브이아이피(VIP)필라테스&요가칠곡점열정,대구,북구,동천로,"135-5,6층(동천동,더웰빌딩)",128.5603613,35.94349026
47,기타,브이피트니스,대구,북구,매전로,"80,3층301호(태전동)",128.5468693,35.91286157
48,기타,비무짐,대구,북구,검단로,3복현상가지하1층102호(산격동),128.6148481,35.89821326
49,기타,비원트레이닝,대구,북구,침산남로,180-6지하1층(침산동),128.5948726,35.88680005
50,기타,비위더스운동발달연구소,대구,북구,성북로,"45,2층(침산동)",128.5884451,35.8916731
51,기타,비트컴퓨터학원,대구,북구,학정로,415메가타운504(동천동),128.5629842,35.94184552
52,기타,비티(B.T)수학교습소,대구,북구,칠곡중앙대로80길,8(태전동),128.5490279,35.93043701
53,기타,사이즈핏,대구,북구,칠곡중앙대로,"282,4층(태전동)",128.5468624,35.92072693
54,기타,산격스포츠,대구,북구,동북로,"150,6층(산격동)",128.6090129,35.89986399
55,기타,새몸만들기연구소,대구,북구,대현남로6길,"7,2층(대현동)",128.6080754,35.88121903
56,기타,서용120s어학원,대구,북구,복현로,"50,501호(복현동,복현블루밍브라운스톤명문세가2단지)",128.6247378,35.89752969
57,기타,센스스포츠아카데미,대구,북구,동천로23길,"50,3층(동천동)",128.5553763,35.94329355
58,기타,센트럴넘버원리딩클럽동천외국어학원,대구,북구,대천로,"87,2층(동천동)",128.5588197,35.93718052
59,기타,셀파우등생교실,대구,북구,복현로20길,76-42층(복현동),128.6214926,35.90618832
60,기타,소마필라테스&PT,대구,북구,복현로,34-1(복현동),128.624624,35.89502365
61,기타,수성아트복싱클럽,대구,북구,침산로,"163상가501호(침산동,현대아파트)",128.5897601,35.89049268
62,기타,수영재영수학원,대구,북구,학정로,"415,메가타운(동천동)1003",128.5629842,35.94184552
63,기타,쉬라인폴피트니스,대구,북구,태전로,"31,A동201호(태전동)",128.5444611,35.92312353
64,기타,스카이영어교습소,대구,북구,침산로21길,"36상가107동201호(침산동,침산쌍용아파트)",128.586765,35.88754736
65,기타,스카이짐,대구,북구,동천로,"133,7층701,702,703호(동천동)",128.5606083,35.94346254
66,기타,스카이짐,대구,북구,학남로,"95,2층(국우동)",128.5698197,35.94432256
67,기타,스카이짐,대구,북구,학남로,"95,2층(국우동)",128.5698197,35.94432256
68,기타,스타짐,대구,북구,동천로,"122,4층(동천동)",128.5609888,35.94248166
69,기타,스타코칭핏,대구,북구,구암로,83-42층(읍내동),128.5495937,35.93268184
70,기타,스터디공장학원,대구,북구,대학로,"61(산격동,4층)",128.607325,35.89170887
71,기타,스튜디오제이(StudioJ),대구,북구,연경지묘로,"6,702호(연경동)",128.6151186,35.94248626
72,기타,시매쓰수학영재학원,대구,북구,동천로24길,3(동천동),128.5609232,35.94209484
73,기타,시스템(STM)수학학원,대구,북구,동암로,102동신빌딩4층북측(동천동),128.5620488,35.94403584
74,기타,충의무예원,대구,북구,팔거천서로,241-1(읍내동),128.5534765,35.94465058
75,기타,칠곡미라클잉글리쉬외국어학원,대구,북구,학정로,430(구암동),128.5640547,35.94300044
76,기타,칠곡엠트레이닝센터,대구,북구,팔거천동로,"222,203호(동천동,동천메디빌빌딩)",128.5586407,35.94365085
77,기타,칠곡효성간호학원,대구,북구,칠곡중앙대로,373(태전동)태원빌딩3층,128.5474827,35.92912803
78,기타,칠곡MS복싱,대구,북구,동천로,"125-9,4층(동천동)",128.5595384,35.94284547
79,기타,칼샘영어교습소,대구,북구,동천로,53(동천동),128.5593566,35.93634567
80,기타,컴뱃주짓수,대구,북구,학정로,"430지하1층B01,B02호(구암동,센츄럴비즈니스빌딩)",128.5640547,35.94300044
81,기타,케어필라테스침산점,대구,북구,침산남로,"165,4층(침산동)",128.5937322,35.88795838
82,기타,크로스핏225,대구,북구,구암로65길,"52지하1층(구암동,상호빌딩)",128.564182,35.94172277
83,기타,크로스핏가온J,대구,북구,동북로,260(복현동),128.6189247,35.89412731
84,기타,클럽복싱인,대구,북구,동북로,"150,2층(산격동)",128.6090129,35.89986399
85,기타,키움학원,대구,북구,동북로37길,54(산격동),128.6109764,35.90204626
86,기타,탑매쓰수학교습소,대구,북구,동천로,67-1(동천동),128.559609,35.9376458
87,기타,태양헬스,대구,북구,칠곡중앙대로,"423,9층(관음동,태림빌딩)",128.5482921,35.9336697
88,기타,태학수학전문학원,대구,북구,칠곡중앙대로,"302(태전동,5층)",128.54715,35.92260868
89,기타,통문장영어코스모스학원,대구,북구,구암로21길,"38상가동2층2호(읍내동,칠곡1차공작한양아파트)",128.5531847,35.93567181
90,기타,튼튼영어복현지사,대구,북구,침산남로,"176(침산동,미래빌딩3층)",128.5947004,35.88736852
91,기타,팀에스핏(TeamSFit),대구,북구,동북로,280(복현동),128.620419,35.89299443
92,기타,품격휘트니스열정그룹칠곡9호점,대구,북구,동천로,"135-5,7층701,702호(동천동,더웰빌딩)",128.5603613,35.94349026
93,기타,피트니스봄,대구,북구,학정로,551-504층(학정동),128.5654032,35.95394113
94,기타,피트온24,대구,북구,학정로,"416,402호(구암동)",128.5638106,35.94179538
95,기타,피티명가,대구,북구,침산남로,"153,3층(침산동)",128.5925208,35.88820172
96,기타,필라테스365,대구,북구,내곡로,38-64층(사수동),128.5098975,35.89898859
97,기타,필라테스마일,대구,북구,매전로4길,"31,202동11층1102호(매천동,한신더휴이스턴팰리스)",128.5439861,35.90599052
98,기타,필라테스인침산점,대구,북구,침산로,168(침산동),128.5906126,35.89119167
99,기타,필레포츠,대구,북구,팔거천동로,"221,5층(동천동)",128.5578746,35.94374542
100,기타,하람수학교실수학교습소,대구,북구,관음중앙로33길,23층(읍내동),128.5496357,35.94684054
101,기타,하루짐,대구,북구,동천로23길,"10,4층(동천동)",128.5594545,35.94226037
102,기타,하이파이브짐,대구,북구,옥산로17길,"14,2층203호(칠성동2가,칠성동리치프라자)",128.586019,35.88577628
103,기타,한국디지털신학연구원,대구,북구,구암로60길,15(구암동),128.5689083,35.93682125
104,기타,한국보건의료교육개발원,대구,북구,태암로,"74-1(구암동,2층)",128.5556661,35.92754176
105,기타,한국정통침구학회대구경북지부평생교육원,대구,북구,신암로,"22(칠성동1가,3층)",128.6057144,35.87433049
106,기타,한샘과학교습소,대구,북구,중앙대로,544(칠성동2가),128.5965393,35.88142341
107,기타,한샘수학교습소,대구,북구,학남로,20-1(학정동),128.5670265,35.9483001
108,기타,해법수학교습소,대구,북구,구암로49길,"23(구암동,2층)",128.5631777,35.93321181
109,기타,해법영어교습소,대구,북구,서변로,"43-1(서변동,2층202호)",128.5963888,35.91970497
110,기타,해석수학김철영어학원,대구,북구,동천로24길,"3,5층(동천동)",128.5609232,35.94209484
111,기타,해와달공부방,대구,북구,팔거천동로34길,16-8203호은하수빌(동천동),128.5593234,35.93824678
112,기타,홀리핏,대구,북구,영송로,"63상가동2층201호(태전동,칠곡관음타운)",128.542518,35.93176253
113,기타,홍티영어(홍t영어),대구,북구,칠곡중앙대로65길,"7-9,302호(태전동)",128.5464069,35.92514641
114,기타,회사엘리트영재어학원,대구,북구,침산로,"144(침산동,7층)",128.5915139,35.88925904
115,기타,히든짐,대구,북구,매전로,"80,3층301호(태전동)",128.5468693,35.91286157
116,기타,AJ휘트니스,대구,북구,대현로,84(대현동),128.608002,35.88267436
117,기타,awesomeBODY(어썸바디),대구,북구,침산남로,"163,2층(침산동)",128.5935429,35.88795098
118,기타,CGV대구칠곡,대구,북구,동암로,90CGV대구칠곡(동천동),128.5603226,35.94413787
119,기타,Green필라테스,대구,북구,옥산로,"87,205호(칠성동2가,태왕아너스로뎀플러스)",128.5853399,35.88479796
120,기타,JES영어교습소,대구,북구,칠곡중앙대로118길,20(읍내동),128.5541771,35.94753975